"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 05 09:19:45 UTC 2026","Tue May 05 09:19:46 UTC 2026","636","","POST /api/v1/mail/:token/send","","Sent message appears in GET messages list","","Sent message appears in GET messages list",""
"passed","Tue May 05 09:16:57 UTC 2026","Tue May 05 09:16:57 UTC 2026","200","","GET /api/v1/health","","Health response echoes provided X-Request-ID header","","Health response echoes provided X-Request-ID header",""
"passed","Tue May 05 09:16:40 UTC 2026","Tue May 05 09:16:43 UTC 2026","2778","","DELETE /api/v1/users/delete/:id","","Delete with another user token returns 401 INVALID_TOKEN","","Delete with another user token returns 401 INVALID_TOKEN",""
"passed","Tue May 05 09:15:13 UTC 2026","Tue May 05 09:15:16 UTC 2026","2272","","POST /api/v1/users/create","","Create user with all optional fields returns 201","","Create user with all optional fields returns 201",""
"passed","Tue May 05 09:16:25 UTC 2026","Tue May 05 09:16:27 UTC 2026","2259","","POST /api/v1/users/create","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 09:15:34 UTC 2026","Tue May 05 09:15:36 UTC 2026","2280","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"passed","Tue May 05 09:19:44 UTC 2026","Tue May 05 09:19:44 UTC 2026","215","","GET /api/v1/mail/:token/messages","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND",""
"passed","Tue May 05 09:19:42 UTC 2026","Tue May 05 09:19:43 UTC 2026","631","","GET /api/v1/mail/:token/messages","","Get message by ID returns 200 with full body and html_body","","Get message by ID returns 200 with full body and html_body",""
"passed","Tue May 05 09:20:05 UTC 2026","Tue May 05 09:20:08 UTC 2026","2515","","PATCH /api/v1/users/patch/:id","","Patch only username returns 200","","Patch only username returns 200",""
"passed","Tue May 05 09:19:48 UTC 2026","Tue May 05 09:19:48 UTC 2026","210","","POST /api/v1/mail/:token/send","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Tue May 05 09:19:43 UTC 2026","Tue May 05 09:19:44 UTC 2026","424","","GET /api/v1/mail/:token/messages","","Get message with non-existent message ID returns 404 MESSAGE_NOT_FOUND","","Get message with non-existent message ID returns 404 MESSAGE_NOT_FOUND",""
"passed","Tue May 05 09:20:18 UTC 2026","Tue May 05 09:20:21 UTC 2026","2495","","PUT /api/v1/users/update/:id","","Full update user with valid token returns 200","","Full update user with valid token returns 200",""
"passed","Tue May 05 09:16:09 UTC 2026","Tue May 05 09:16:11 UTC 2026","2259","","POST /api/v1/users/create","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 09:19:45 UTC 2026","Tue May 05 09:19:45 UTC 2026","427","","POST /api/v1/mail/:token/send","","Send message without html_body returns 201","","Send message without html_body returns 201",""
"passed","Tue May 05 09:18:56 UTC 2026","Tue May 05 09:19:09 UTC 2026","13204","","POST /api/v1/login","","Login with empty body returns 400 VALIDATION_ERROR","","Login with empty body returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 09:15:54 UTC 2026","Tue May 05 09:15:57 UTC 2026","2334","","POST /api/v1/users/create","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"passed","Tue May 05 09:15:25 UTC 2026","Tue May 05 09:15:27 UTC 2026","2287","","POST /api/v1/users/create","","Create user with username at maximum length 30 chars returns 201","","Create user with username at maximum length 30 chars returns 201",""
"passed","Tue May 05 09:20:08 UTC 2026","Tue May 05 09:20:10 UTC 2026","2514","","PATCH /api/v1/users/patch/:id","","Patch with empty body returns 200 with no changes","","Patch with empty body returns 200 with no changes",""
"passed","Tue May 05 09:19:51 UTC 2026","Tue May 05 09:19:51 UTC 2026","202","","POST /api/v1/mail/create","","Create mailbox with uppercase in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with uppercase in local_part returns 400 INVALID_LOCAL_PART",""
"passed","Tue May 05 09:19:36 UTC 2026","Tue May 05 09:19:36 UTC 2026","500","","POST /api/v1/users/logout/:id","","Logout returns 200 with success true message","","Logout returns 200 with success true message",""
"passed","Tue May 05 09:20:10 UTC 2026","Tue May 05 09:20:13 UTC 2026","2501","","PATCH /api/v1/users/patch/:id","","Patch with no auth header returns 401 MISSING_TOKEN","","Patch with no auth header returns 401 MISSING_TOKEN",""
"passed","Tue May 05 09:19:47 UTC 2026","Tue May 05 09:19:47 UTC 2026","418","","POST /api/v1/mail/:token/send","","Send message missing required field from returns 400 VALIDATION_ERROR","","Send message missing required field from returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 09:16:45 UTC 2026","Tue May 05 09:16:48 UTC 2026","2478","","GET /api/v1/users/get/:id","","Get user by ID returns 200 with expected fields","","Get user by ID returns 200 with expected fields",""
"passed","Tue May 05 09:19:38 UTC 2026","Tue May 05 09:19:39 UTC 2026","727","","POST /api/v1/users/logout/:id","","Logout revoked token — DELETE also returns 401","","Logout revoked token — DELETE also returns 401",""
"passed","Tue May 05 09:19:51 UTC 2026","Tue May 05 09:19:51 UTC 2026","206","","POST /api/v1/mail/create","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN",""
"passed","Tue May 05 09:19:39 UTC 2026","Tue May 05 09:19:39 UTC 2026","728","","POST /api/v1/users/logout/:id","","Double logout — second attempt returns 401 INVALID_TOKEN","","Double logout — second attempt returns 401 INVALID_TOKEN",""
"passed","Tue May 05 09:19:54 UTC 2026","Tue May 05 09:19:55 UTC 2026","637","","DELETE /api/v1/mail/:token","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND",""
"passed","Tue May 05 09:16:04 UTC 2026","Tue May 05 09:16:07 UTC 2026","2320","","POST /api/v1/users/create","","Create user with invalid email returns 400 VALIDATION_ERROR","","Create user with invalid email returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 09:20:29 UTC 2026","Tue May 05 09:20:31 UTC 2026","2521","","PUT /api/v1/users/update/:id","","PUT update non-existent user with another user token returns 401 INVALID_TOKEN","","PUT update non-existent user with another user token returns 401 INVALID_TOKEN",""
"passed","Tue May 05 09:19:41 UTC 2026","Tue May 05 09:19:42 UTC 2026","637","","GET /api/v1/mail/:token/messages","","Messages list does not contain html_body field","","Messages list does not contain html_body field",""
"passed","Tue May 05 09:20:41 UTC 2026","Tue May 05 09:20:44 UTC 2026","2760","","HEAD /api/v1/users/exists/:id","","GET alias for exists with existing user returns 200 with X-User-Exists true","","GET alias for exists with existing user returns 200 with X-User-Exists true",""
"passed","Tue May 05 09:20:48 UTC 2026","Tue May 05 09:20:51 UTC 2026","2728","","HEAD /api/v1/users/exists/:id","","After delete user exists returns false","","After delete user exists returns false",""
"passed","Tue May 05 09:19:48 UTC 2026","Tue May 05 09:19:48 UTC 2026","411","","POST /api/v1/mail/:token/send","","Send message missing required field body returns 400 VALIDATION_ERROR","","Send message missing required field body returns 400 VALIDATION_ERROR",""
