"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Mailbox Create","Create mailbox with valid domain returns 201","0","0","4","0","0"
"","User Exists","GET alias for exists with non-existent user returns 404","0","0","1","0","0"
"","Mail Send","Send message returns 201 with full message object","0","0","1","0","0"
"","Create User","Create user with valid theme returns 201","0","0","3","0","0"
"","Create User","Create user with all optional fields returns 201","0","0","1","0","0"
"","Mailbox Create","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","0","0","1","0","0"
"","List Users","Users list response does not contain access_token or password","0","0","1","0","0"
"","List Users","Get users list with per_page 100 returns 200","0","0","1","0","0"
"","Get User","Get user by ID returns 200 with expected fields","0","0","1","0","0"
"","Mailbox Delete","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","Mailbox Create","Create mailbox with invalid domain returns 400 INVALID_DOMAIN","0","0","1","0","0"
"","Create User","Create user with username at maximum length 30 chars returns 201","0","0","1","0","0"
"","Mail Send","Send message missing required field body returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Create User","Create user with duplicate email returns 409 DUPLICATE_USER","0","0","1","0","0"
"","List Users","Users list has Cache-Control no-store header","0","0","1","0","0"
"","Mail Send","Send message missing required field subject returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","List Users","Get users list with per_page 10 returns at most 10 results","0","0","1","0","0"
"","Create User","Create user with valid gender enum returns 201","0","0","4","0","0"
"","Mailbox Create","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART","0","0","1","0","0"
"","Login","Login with wrong password returns 401 INVALID_CREDENTIALS","0","0","1","0","0"
"","Create User","Create user with valid employment status returns 201","0","0","5","0","0"
"","Delete User","Delete non-existent user with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
"","Patch User","Patch only username returns 200","0","0","1","0","0"
"","Create User","Create user with empty interests array returns 201","0","0","1","0","0"
"","Logout","Double logout — second attempt returns 401 INVALID_TOKEN","0","0","1","0","0"
"","Create User","Create user missing profile.first_name returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Mail Send","Send message missing required field from returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Mailbox Create","Create duplicate mailbox local_part and domain returns 409 ADDRESS_TAKEN","0","0","1","0","0"
"","Create User","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Mailbox Delete","Delete mailbox — GET messages also returns 404","0","0","1","0","0"
"","Login","Login with empty body returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Get User","Get user by non-existent ID returns 404 USER_NOT_FOUND","0","0","1","0","0"
"","Delete User","Delete same user twice — second delete returns 404","0","0","1","0","0"
"","Mailbox Create","Create mailbox with allowed special chars underscore and hyphen returns 201","0","0","1","0","0"
"","Create User","Create user with minimal required fields returns 201 with token","0","0","1","0","0"
"","Login","Login response contains all required fields","0","0","1","0","0"
"","Update User","PUT update with no Authorization header returns 401 MISSING_TOKEN","0","0","1","0","0"
"","Mail Messages","Cross-mailbox message access returns 404 MESSAGE_NOT_FOUND","0","0","1","0","0"
"","Logout","Logout revoked token — PUT also returns 401","0","0","1","0","0"
"","User Exists","After delete user exists returns false","0","0","1","0","0"
"","Mail Messages","Get message by ID returns 200 with full body and html_body","0","0","1","0","0"
"","Options","OPTIONS returns 204","0","0","1","0","0"
"","Login","Login with invalid email format returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Get User","Get user with malformed ID returns 404 USER_NOT_FOUND","0","0","3","0","0"
"","Create User","Create user with invalid theme enum returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Create User","Create user with invalid email returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Mailbox Delete","Delete mailbox with messages — message retrieval also returns 404","0","0","1","0","0"
