"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 04 12:54:38 UTC 2026","Mon May 04 12:54:40 UTC 2026","2157","","GET /api/v1/users/list","","Get users list with per_page 10 returns at most 10 results","","Get users list with per_page 10 returns at most 10 results",""
"broken","Mon May 04 12:55:53 UTC 2026","Mon May 04 12:56:06 UTC 2026","13004","","POST /api/v1/login","","Login with non-existent email returns 401 INVALID_CREDENTIALS","","Login with non-existent email returns 401 INVALID_CREDENTIALS",""
"broken","Mon May 04 12:57:53 UTC 2026","Mon May 04 12:57:55 UTC 2026","2232","","PUT /api/v1/users/update/:id","","PUT update with no Authorization header returns 401 MISSING_TOKEN","","PUT update with no Authorization header returns 401 MISSING_TOKEN",""
"passed","Mon May 04 12:57:31 UTC 2026","Mon May 04 12:57:31 UTC 2026","272","","Mail API — /api/v1/mail/*","","Send message missing required field subject returns 400 VALIDATION_ERROR","","Send message missing required field subject returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 12:54:11 UTC 2026","Mon May 04 12:54:13 UTC 2026","2202","","DELETE /api/v1/users/delete/:id","","Delete user with valid token returns 204 and subsequent GET returns 404","","Delete user with valid token returns 204 and subsequent GET returns 404",""
"broken","Mon May 04 12:58:26 UTC 2026","Mon May 04 12:58:28 UTC 2026","2263","","POST /api/v1/users/create","","Create user metadata fields are correct on creation","","Create user metadata fields are correct on creation",""
"broken","Mon May 04 12:57:37 UTC 2026","Mon May 04 12:57:39 UTC 2026","2261","","PATCH /api/v1/users/patch/:id","","Patch only username returns 200","","Patch only username returns 200",""
"passed","Mon May 04 12:53:35 UTC 2026","Mon May 04 12:53:38 UTC 2026","2266","","POST /api/v1/users/create","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"broken","Mon May 04 12:57:39 UTC 2026","Mon May 04 12:57:41 UTC 2026","2209","","PATCH /api/v1/users/patch/:id","","Patch with empty body returns 200 with no changes","","Patch with empty body returns 200 with no changes",""
"broken","Mon May 04 12:57:32 UTC 2026","Mon May 04 12:57:32 UTC 2026","2","","Mail API — /api/v1/mail/*","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 12:57:29 UTC 2026","Mon May 04 12:57:29 UTC 2026","142","","Mail API — /api/v1/mail/*","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART",""
"broken","Mon May 04 12:57:25 UTC 2026","Mon May 04 12:57:27 UTC 2026","2243","","POST /api/v1/users/logout/:id","","User can re-login after logout and receives new valid token","","User can re-login after logout and receives new valid token",""
"passed","Mon May 04 12:57:27 UTC 2026","Mon May 04 12:57:27 UTC 2026","137","","Mail API — /api/v1/mail/*","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Mon May 04 12:53:38 UTC 2026","Mon May 04 12:53:40 UTC 2026","2222","","POST /api/v1/users/create","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"broken","Mon May 04 12:54:13 UTC 2026","Mon May 04 12:54:16 UTC 2026","2216","","DELETE /api/v1/users/delete/:id","","Delete returns 204 with empty body","","Delete returns 204 with empty body",""
"passed","Mon May 04 12:53:31 UTC 2026","Mon May 04 12:53:33 UTC 2026","2246","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"broken","Mon May 04 12:55:40 UTC 2026","Mon May 04 12:55:53 UTC 2026","13285","","POST /api/v1/login","","Login with wrong password returns 401 INVALID_CREDENTIALS","","Login with wrong password returns 401 INVALID_CREDENTIALS",""
"broken","Mon May 04 12:57:28 UTC 2026","Mon May 04 12:57:28 UTC 2026","156","","Mail API — /api/v1/mail/*","","Create mailbox with allowed special chars underscore and hyphen returns 201","","Create mailbox with allowed special chars underscore and hyphen returns 201",""
"broken","Mon May 04 12:57:16 UTC 2026","Mon May 04 12:57:18 UTC 2026","2244","","POST /api/v1/users/logout/:id","","Logout revoked token — PUT also returns 401","","Logout revoked token — PUT also returns 401",""
"broken","Mon May 04 12:58:04 UTC 2026","Mon May 04 12:58:06 UTC 2026","2201","","HEAD /api/v1/users/exists/:id","","HEAD existing user returns 200 with X-User-Exists true","","HEAD existing user returns 200 with X-User-Exists true",""
"passed","Mon May 04 12:57:27 UTC 2026","Mon May 04 12:57:28 UTC 2026","147","","Mail API — /api/v1/mail/*","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Mon May 04 12:57:31 UTC 2026","Mon May 04 12:57:32 UTC 2026","285","","Mail API — /api/v1/mail/*","","Send message missing required field body returns 400 VALIDATION_ERROR","","Send message missing required field body returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 12:58:30 UTC 2026","Mon May 04 12:58:32 UTC 2026","2222","","POST /api/v1/users/create","","Create user with username at maximum length 30 chars returns 201","","Create user with username at maximum length 30 chars returns 201",""
"broken","Mon May 04 12:57:11 UTC 2026","Mon May 04 12:57:13 UTC 2026","2247","","POST /api/v1/users/logout/:id","","Logout returns 200 with success true message","","Logout returns 200 with success true message",""
"broken","Mon May 04 12:54:22 UTC 2026","Mon May 04 12:54:25 UTC 2026","2204","","DELETE /api/v1/users/delete/:id","","Delete same user twice — second delete returns 404","","Delete same user twice — second delete returns 404",""
"broken","Mon May 04 12:57:22 UTC 2026","Mon May 04 12:57:25 UTC 2026","2370","","POST /api/v1/users/logout/:id","","Logout with no auth header returns 401 MISSING_TOKEN","","Logout with no auth header returns 401 MISSING_TOKEN",""
"broken","Mon May 04 12:57:31 UTC 2026","Mon May 04 12:57:31 UTC 2026","136","","Mail API — /api/v1/mail/*","","Sent message is retrievable via GET messages ID","","Sent message is retrievable via GET messages ID",""
"passed","Mon May 04 12:58:46 UTC 2026","Mon May 04 12:58:48 UTC 2026","2209","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"broken","Mon May 04 12:53:53 UTC 2026","Mon May 04 12:53:55 UTC 2026","2202","","POST /api/v1/users/create","","Create user with username longer than 30 chars returns 400 VALIDATION_ERROR","","Create user with username longer than 30 chars returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 12:57:29 UTC 2026","Mon May 04 12:57:29 UTC 2026","154","","Mail API — /api/v1/mail/*","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART",""
"broken","Mon May 04 12:58:10 UTC 2026","Mon May 04 12:58:12 UTC 2026","2003","","HEAD /api/v1/users/exists/:id","","GET alias for exists with non-existent user returns 404","","GET alias for exists with non-existent user returns 404",""
"broken","Mon May 04 12:57:27 UTC 2026","Mon May 04 12:57:27 UTC 2026","150","","Mail API — /api/v1/mail/*","","Create mailbox with empty body returns 201 with all required fields","","Create mailbox with empty body returns 201 with all required fields",""
"broken","Mon May 04 12:57:35 UTC 2026","Mon May 04 12:57:37 UTC 2026","2248","","PATCH /api/v1/users/patch/:id","","Patch only email — other fields remain unchanged","","Patch only email — other fields remain unchanged",""
"passed","Mon May 04 12:53:33 UTC 2026","Mon May 04 12:53:35 UTC 2026","2232","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Mon May 04 12:58:37 UTC 2026","Mon May 04 12:58:39 UTC 2026","2245","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"broken","Mon May 04 12:53:58 UTC 2026","Mon May 04 12:54:00 UTC 2026","2222","","POST /api/v1/users/create","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR",""
